item_id,day_offset,true,pred
FOODS_1_001,1,2.0,0.8651639819145203
FOODS_1_001,2,0.0,0.855226457118988
FOODS_1_001,3,0.0,0.8541952967643738
FOODS_1_001,4,0.0,0.8550395369529724
FOODS_1_001,5,0.0,0.8623889088630676
FOODS_1_001,6,1.0,1.3113151788711548
FOODS_1_001,7,1.0,0.9711328148841858
FOODS_1_001,8,0.0,0.9366305470466614
FOODS_1_001,9,6.0,0.929283082485199
FOODS_1_001,10,1.0,0.9281887412071228
FOODS_1_001,11,0.0,0.9289990067481995
FOODS_1_001,12,3.0,0.9357286095619202
FOODS_1_001,13,0.0,1.345129370689392
FOODS_1_001,14,0.0,0.9975165724754333
FOODS_1_001,15,0.0,0.95234614610672
FOODS_1_001,16,2.0,0.9374844431877136
FOODS_1_001,17,0.0,0.9363043904304504
FOODS_1_001,18,0.0,0.9372854828834534
FOODS_1_001,19,2.0,0.9449694752693176
FOODS_1_001,20,3.0,1.4151760339736938
FOODS_1_001,21,1.0,1.0045112371444702
FOODS_1_001,22,0.0,0.9322999119758606
FOODS_1_001,23,0.0,0.9250257611274719
FOODS_1_001,24,0.0,0.9232314229011536
FOODS_1_001,25,1.0,0.9239277243614197
FOODS_1_001,26,0.0,0.9306753277778625
FOODS_1_001,27,0.0,1.3406537771224976
FOODS_1_001,28,0.0,1.017619013786316
FOODS_1_002,1,0.0,0.796556293964386
FOODS_1_002,2,0.0,0.7864667773246765
FOODS_1_002,3,0.0,0.7853779196739197
FOODS_1_002,4,0.0,0.7862840294837952
FOODS_1_002,5,0.0,0.7937185168266296
FOODS_1_002,6,1.0,1.2475402355194092
FOODS_1_002,7,0.0,0.9017686247825623
FOODS_1_002,8,1.0,0.8665565848350525
FOODS_1_002,9,3.0,0.8590822815895081
FOODS_1_002,10,0.0,0.8579919934272766
FOODS_1_002,11,0.0,0.8586185574531555
FOODS_1_002,12,1.0,0.8645580410957336
FOODS_1_002,13,0.0,1.224751591682434
FOODS_1_002,14,2.0,0.9440907835960388
FOODS_1_002,15,1.0,0.893217146396637
FOODS_1_002,16,0.0,0.8853681683540344
FOODS_1_002,17,0.0,0.8838583827018738
FOODS_1_002,18,1.0,0.8846272826194763
FOODS_1_002,19,2.0,0.8913639187812805
FOODS_1_002,20,1.0,1.3036397695541382
FOODS_1_002,21,0.0,0.9611954092979431
FOODS_1_002,22,1.0,0.9022127985954285
FOODS_1_002,23,1.0,0.8946020007133484
FOODS_1_002,24,1.0,0.8930742144584656
FOODS_1_002,25,0.0,0.8937633633613586
FOODS_1_002,26,1.0,0.8996729254722595
FOODS_1_002,27,1.0,1.258100986480713
FOODS_1_002,28,2.0,1.0045866966247559
FOODS_1_003,1,3.0,0.7659406065940857
FOODS_1_003,2,1.0,0.7578112483024597
FOODS_1_003,3,0.0,0.7568315863609314
FOODS_1_003,4,0.0,0.7574204802513123
FOODS_1_003,5,0.0,0.7639362215995789
FOODS_1_003,6,0.0,1.1607078313827515
FOODS_1_003,7,0.0,0.8997370600700378
FOODS_1_003,8,3.0,0.8530347943305969
FOODS_1_003,9,1.0,0.8455364108085632
FOODS_1_003,10,0.0,0.8444008231163025
FOODS_1_003,11,0.0,0.8450798392295837
FOODS_1_003,12,1.0,0.8510144352912903
FOODS_1_003,13,2.0,1.2118903398513794
FOODS_1_003,14,2.0,0.9216039776802063
FOODS_1_003,15,0.0,0.8876226544380188
FOODS_1_003,16,0.0,0.8725637793540955
FOODS_1_003,17,0.0,0.8713669180870056
FOODS_1_003,18,0.0,0.8720034956932068
FOODS_1_003,19,2.0,0.8779473900794983
FOODS_1_003,20,0.0,1.2377351522445679
FOODS_1_003,21,0.0,0.9879723191261292
FOODS_1_003,22,0.0,0.9010149836540222
FOODS_1_003,23,0.0,0.8916831612586975
FOODS_1_003,24,0.0,0.8898302912712097
FOODS_1_003,25,2.0,0.8905982375144958
FOODS_1_003,26,2.0,0.8974135518074036
FOODS_1_003,27,0.0,1.3097714185714722
FOODS_1_003,28,1.0,0.9969748854637146
FOODS_1_004,1,0.0,0.6595012545585632
FOODS_1_004,2,4.0,0.651167094707489
FOODS_1_004,3,5.0,0.650002658367157
FOODS_1_004,4,2.0,0.650653064250946
FOODS_1_004,5,6.0,0.6564174294471741
FOODS_1_004,6,4.0,1.0074622631072998
FOODS_1_004,7,6.0,0.8002350926399231
FOODS_1_004,8,4.0,0.7639645934104919
