item_id,day_offset,true,pred
FOODS_1_001,1,2.0,-0.1813080608844757
FOODS_1_001,2,0.0,-0.1821005642414093
FOODS_1_001,3,0.0,-0.18065771460533142
FOODS_1_001,4,0.0,-0.1802181899547577
FOODS_1_001,5,0.0,-0.18101659417152405
FOODS_1_001,6,1.0,-0.18184411525726318
FOODS_1_001,7,1.0,-0.18648651242256165
FOODS_1_001,8,0.0,-0.1840267777442932
FOODS_1_001,9,6.0,-0.18208834528923035
FOODS_1_001,10,1.0,-0.18128928542137146
FOODS_1_001,11,0.0,-0.18313953280448914
FOODS_1_001,12,3.0,-0.18514108657836914
FOODS_1_001,13,0.0,-0.18400034308433533
FOODS_1_001,14,0.0,-0.18416547775268555
FOODS_1_001,15,0.0,-0.18553391098976135
FOODS_1_001,16,2.0,-0.18738391995429993
FOODS_1_001,17,0.0,-0.18717995285987854
FOODS_1_001,18,0.0,-0.18668672442436218
FOODS_1_001,19,2.0,-0.18728822469711304
FOODS_1_001,20,3.0,-0.18851566314697266
FOODS_1_001,21,1.0,-0.1911316215991974
FOODS_1_001,22,0.0,-0.1918964385986328
FOODS_1_001,23,0.0,-0.19175994396209717
FOODS_1_001,24,0.0,-0.19295284152030945
FOODS_1_001,25,1.0,-0.19424983859062195
FOODS_1_001,26,0.0,-0.19319012761116028
FOODS_1_001,27,0.0,-0.19373202323913574
FOODS_1_001,28,0.0,-0.19535157084465027
FOODS_1_002,1,0.0,-0.34097084403038025
FOODS_1_002,2,0.0,-0.34225332736968994
FOODS_1_002,3,0.0,-0.3409290015697479
FOODS_1_002,4,0.0,-0.3420153856277466
FOODS_1_002,5,0.0,-0.3432026505470276
FOODS_1_002,6,1.0,-0.344512015581131
FOODS_1_002,7,0.0,-0.3476402461528778
FOODS_1_002,8,1.0,-0.3474266827106476
FOODS_1_002,9,3.0,-0.3472132384777069
FOODS_1_002,10,0.0,-0.34723302721977234
FOODS_1_002,11,0.0,-0.3504487872123718
FOODS_1_002,12,1.0,-0.3514631688594818
FOODS_1_002,13,0.0,-0.3510834276676178
FOODS_1_002,14,2.0,-0.3494185507297516
FOODS_1_002,15,1.0,-0.35069704055786133
FOODS_1_002,16,0.0,-0.35045865178108215
