item_id,day_offset,true_log,pred_log,true_real,pred_real
FOODS_1_001,1,1.0986122886681098,0.4513830542564392,2.0000000000000004,0.5704827469899024
FOODS_1_001,2,0.0,0.3792533874511719,0.0,0.4611932368692511
FOODS_1_001,3,0.0,0.32880812883377075,0.0,0.38931126124059473
FOODS_1_001,4,0.0,0.29934462904930115,0.0,0.34897443915231396
FOODS_1_001,5,0.0,0.29050251841545105,0.0,0.33709923621790244
FOODS_1_001,6,0.6931471805599453,0.33292633295059204,1.0,0.39504452587035943
FOODS_1_001,7,0.6931471805599453,0.3369073271751404,1.0,0.40060925930737196
FOODS_1_001,8,0.0,0.31947505474090576,0.0,0.37640503735754904
FOODS_1_001,9,1.9459101490553132,0.26848945021629333,5.999999999999999,0.3079871779759687
FOODS_1_001,10,0.6931471805599453,0.23534879088401794,1.0,0.26535003433077564
FOODS_1_001,11,0.0,0.21944114565849304,0.0,0.2453805497466031
FOODS_1_001,12,1.3862943611198906,0.22066053748130798,3.0,0.24690008287010465
FOODS_1_001,13,0.0,0.24159657955169678,0.0,0.27328042183171125
FOODS_1_001,14,0.0,0.24888916313648224,0.0,0.2825998658449937
FOODS_1_001,15,0.0,0.21339452266693115,0.0,0.23787292384720068
FOODS_1_001,16,1.0986122886681098,0.1737479567527771,2.0000000000000004,0.1897556581476171
FOODS_1_001,17,0.0,0.11786526441574097,0.0,0.12509251115776393
FOODS_1_001,18,0.0,0.08263280987739563,0.0,0.08614291436782583
FOODS_1_001,19,1.0986122886681098,0.08422622084617615,2.0000000000000004,0.08787496596978604
FOODS_1_001,20,1.3862943611198906,0.09642460942268372,3.0,0.1012265559083674
FOODS_1_001,21,0.6931471805599453,0.10022281110286713,1.0,0.10541718986178603
FOODS_1_001,22,0.0,0.07519036531448364,0.0,0.07808936217192752
FOODS_1_001,23,0.0,0.03067001700401306,0.0,0.031145187362054363
FOODS_1_001,24,0.0,0.02361169457435608,0.0,0.023892657614568085
FOODS_1_001,25,0.6931471805599453,0.030121922492980957,1.0,0.03058017719841318
FOODS_1_001,26,0.0,0.017377227544784546,0.0,0.01752908993717673
FOODS_1_001,27,0.0,0.016766339540481567,0.0,0.016907683446315235
FOODS_1_001,28,0.0,0.00997045636177063,0.0,0.010020326968233174
FOODS_1_002,1,0.0,0.22171950340270996,0.0,0.24822120695448902
FOODS_1_002,2,0.0,0.19137467443943024,0.0,0.21091306527128842
FOODS_1_002,3,0.0,0.1739669293165207,0.0,0.19001621052017956
